car_id,symboling,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,make,fueltype_gas,fueltype_diesel,aspiration_std,aspiration_turbo,doornumber_two,doornumber_four,enginelocation_front,enginelocation_rear,cylinders,market_segment
19,2,hatchback,fwd,88.4,141.1,60.3,53.2,1488,l,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,chevrolet,1,0,1,0,1,0,1,0,3,Budget Tier
20,1,hatchback,fwd,94.5,155.9,63.6,52.0,1874,ohc,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,chevrolet,1,0,1,0,1,0,1,0,4,Budget Tier
21,0,sedan,fwd,94.5,158.8,63.6,52.0,1909,ohc,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,chevrolet,1,0,1,0,0,1,1,0,4,Budget Tier
22,1,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,dodge,1,0,1,0,1,0,1,0,4,Budget Tier
23,1,hatchback,fwd,93.7,157.3,63.8,50.8,1876,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,dodge,1,0,1,0,1,0,1,0,4,Budget Tier
25,1,wagon,fwd,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,dodge,1,0,1,0,0,1,1,0,4,Budget Tier
26,1,sedan,fwd,93.7,157.3,63.8,50.6,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,dodge,1,0,1,0,0,1,1,0,4,Budget Tier
31,2,hatchback,fwd,86.6,144.6,63.9,50.8,1713,ohc,92,Rare,2.91,3.41,9.6,58,4800,49,54,6479.0,honda,1,0,1,0,1,0,1,0,4,Budget Tier
32,2,hatchback,fwd,86.6,144.6,63.9,50.8,1819,ohc,92,Rare,2.91,3.41,9.2,76,6000,31,38,6855.0,honda,1,0,1,0,1,0,1,0,4,Budget Tier
33,1,hatchback,fwd,93.7,150.0,64.0,52.6,1837,ohc,79,Rare,2.91,3.07,10.1,60,5500,38,42,5399.0,honda,1,0,1,0,1,0,1,0,4,Budget Tier
34,1,hatchback,fwd,93.7,150.0,64.0,52.6,1940,ohc,92,Rare,2.91,3.41,9.2,76,6000,30,34,6529.0,honda,1,0,1,0,1,0,1,0,4,Budget Tier
